                                                                                
                                                                                
Sample,aX,aY,az,Temp,gX,gY,gz                                                   
306,2784,-14276,8136,-1808,-8523,1743,-3514                                     
307,2676,-14196,7428,-1808,-2801,1792,-2406                                     
308,2252,-13304,6916,-1824,-1333,299,-2242                                      
309,3016,-13788,7236,-1776,-2127,-876,-3203                                     
310,2792,-14572,7600,-1776,681,-1781,-3133                                      
311,4008,-13772,7772,-1824,3882,681,-2796                                       
312,4124,-12424,8540,-1808,1599,-74,-2166                                       
313,4640,-12892,8508,-1808,5193,-183,-549                                       
314,3840,-11808,9324,-1824,4868,1090,945                                        
315,3920,-12344,9784,-1792,4439,2390,2292                                       
316,3384,-12236,9772,-1808,4344,2845,4075                                       
317,2616,-11448,10600,-1776,2492,1578,3120                                      
318,2112,-10776,10820,-1792,-58,-480,939                                        
319,2408,-11636,10380,-1776,-511,-1708,-1366                                    
320,2800,-11316,10184,-1808,-191,-1222,-661                                     
321,3184,-11756,10196,-1856,132,1128,135                                        
322,1836,-10600,10616,-1808,1795,62,1787                                        
323,2112,-10768,10812,-1808,-173,562,793                                        
324,2124,-11736,10472,-1808,91,-612,-87                                         
325,2120,-11232,11108,-1808,730,-1681,-717                                      
326,2648,-11080,10976,-1824,-554,-1318,-1995                                    
327,2832,-10964,10908,-1824,-886,-580,-848                                      
328,3436,-12160,10300,-1808,1668,286,744                                        
329,2360,-10628,10928,-1808,1200,990,1309                                       
330,2168,-10340,11504,-1792,-309,-373,-266                                      
331,2456,-10408,10756,-1840,-613,-868,-711                                      
332,2568,-9316,11320,-1824,-2061,-236,-223                                      
333,2620,-11252,11484,-1808,1101,1766,2352                                      
334,1688,-9592,11232,-1792,-2291,654,-360                                       
335,1868,-10056,11040,-1808,-4747,316,-1575                                     
336,2800,-12716,9676,-1824,-1742,-851,-1508                                     
337,3164,-11644,10248,-1824,2234,-30,888                                        
338,3504,-11280,10760,-1760,3776,3691,4295                                      
339,3012,-10940,10828,-1808,4083,2170,4710                                      
340,120,-10260,11596,-1792,3038,1406,2551                                       
341,236,-9820,12224,-1776,-26,338,689                                           
342,1460,-11100,11380,-1840,-128,-2100,-1213                                    
343,1520,-10912,11328,-1760,-76,-1214,-794                                      
344,1288,-9680,11720,-1808,41,120,327                                           
345,1136,-10732,11588,-1808,-575,575,192                                        
346,996,-10372,11720,-1824,200,-111,194                                         
347,1364,-10004,12008,-1824,449,-115,320                                        
348,1196,-10380,11760,-1792,-1206,484,-123                                      
349,756,-10176,11648,-1776,-25,-294,104                                         
350,1116,-10056,11856,-1808,-1050,-239,-246                                     
351,904,-10640,11288,-1792,-77,-109,129                                         
352,1080,-9580,11904,-1792,31,-99,168                                           
353,860,-10484,11492,-1808,-485,45,-97                                          
354,1044,-10276,11820,-1824,-609,243,50                                         
355,824,-10392,11644,-1824,-374,-480,-243                                       
356,1056,-10148,11724,-1776,-480,-412,-223                                      
357,1140,-10036,11524,-1824,-1583,-241,-580                                     
358,1168,-10376,11352,-1792,-541,-75,39                                         
359,1060,-10252,11612,-1808,-309,296,199                                        
360,544,-10044,11684,-1824,-475,-86,36                                          
361,876,-10264,11520,-1808,-767,-226,-205                                       
362,1012,-10392,11512,-1824,-85,-415,-41                                        
363,1088,-9960,11656,-1792,-369,-160,-69                                        
364,980,-10340,11492,-1760,-275,19,13                                           
365,792,-10260,11620,-1776,54,-288,38                                           
